uuid,title,author,abstract,Keywords,label
0,Accessible Visual Artworks for Blind and Visually Impaired People: Comparing a Multimodal Approach with Tactile Graphics,"Quero, Luis Cavazos; Bartolome, Jorge Iranzo; Cho, Jundong","Despite the use of tactile graphics and audio guides, blind and visually impaired people still face challenges to experience and understand visual artworks independently at art exhibitions. Art museums and other art places are increasingly exploring the use of interactive guides to make their collections more accessible. In this work, we describe our approach to an interactive multimodal guide prototype that uses audio and tactile modalities to improve the autonomous access to information and experience of visual artworks. The prototype is composed of a touch-sensitive 2.5D artwork relief model that can be freely explored by touch. Users can access localized verbal descriptions and audio by performing touch gestures on the surface while listening to themed background music along. We present the design requirements derived from a formative study realized with the help of eight blind and visually impaired participants, art museum and gallery staff, and artists. We extended the formative study by organizing two accessible art exhibitions. There, eighteen participants evaluated and compared multimodal and tactile graphic accessible exhibits. Results from a usability survey indicate that our multimodal approach is simple, easy to use, and improves confidence and independence when exploring visual artworks.",accessibility technology; multimodal interaction; auditory interface; touch interface; vision impairment,0
1,Seizure Detection and Prediction by Parallel Memristive Convolutional Neural Networks,"Li, Chenqi; Lammie, Corey; Dong, Xuening; Amirsoleimani, Amirali; Azghadi, Mostafa Rahimi; Genov, Roman","During the past two decades, epileptic seizure detection and prediction algorithms have evolved rapidly. However, despite significant performance improvements, their hardware implementation using conventional technologies, such as Complementary Metal-Oxide-Semiconductor (CMOS), in power and areaconstrained settings remains a challenging task; especially when many recording channels are used. In this paper, we propose a novel low-latency parallel Convolutional Neural Network (CNN) architecture that has between 2-2,800x fewer network parameters compared to State-Of-The-Art (SOTA) CNN architectures and achieves 5-fold cross validation accuracy of 99.84% for epileptic seizure detection, and 99.01% and 97.54% for epileptic seizure prediction, when evaluated using the University of Bonn Electroencephalogram (EEG), CHB-MIT and SWEC-ETHZ seizure datasets, respectively. We subsequently implement our network onto analog crossbar arrays comprising Resistive Random-Access Memory (RRAM) devices, and provide a comprehensive benchmark by simulating, laying out, and determining hardware requirements of theCNNcomponent of our system. We parallelize the execution of convolution layer kernels on separate analog crossbars to enable 2 orders of magnitude reduction in latency compared to SOTA hybrid Memristive-CMOS Deep Learning (DL) accelerators. Furthermore, we investigate the effects of non-idealities on our system and investigate Quantization Aware Training (QAT) to mitigate the performance degradation due to lowAnalog-to-Digital Converter (ADC)/Digital-to-Analog Converter (DAC) resolution. Finally, we propose a stuck weight offsetting methodology to mitigate performance degradation due to stuck RON/ROFF memristor weights, recovering up to 32% accuracy, without requiring retraining. The CNN component of our platform is estimated to consume approximately 2.791Wof power while occupying an area of 31.255 mm(2) in a 22 nm FDSOI CMOS process.",CNN; Seizure Detection; Seizure Prediction; EEG; RRAM; Memristive Crossbar Array,1
2,Fast ScanNet: Fast and Dense Analysis of Multi-Gigapixel Whole-Slide Images for Cancer Metastasis Detection,"Lin, Huangjing; Chen, Hao; Graham, Simon; Dou, Qi; Rajpoot, Nasir; Pheng-Ann Heng","Lymph node metastasis is one of the most important indicators in breast cancer diagnosis, that is traditionally observed under the microscope by pathologists. In recent years, with the dramatic advance of high-throughput scanning and deep learning technology, automatic analysis of histology from whole-slide images has received a wealth of interest in the field of medical image computing, which aims to alleviate pathologists' workload and simultaneously reduce misdiagnosis rate. However, the automatic detection of lymph node metastases from whole-slide images remains a key challenge because such images are typically very large, where they can often be multiple gigabytes in size. Also, the presence of hard mimics may result in a large number of false positives. In this paper, we propose a novel method with anchor layers for model conversion, which not only leverages the efficiency of fully convolutional architectures to meet the speed requirement in clinical practice but also densely scans the whole-slide image to achieve accurate predictions on both micro- and macro-metastases. Incorporating the strategies of asynchronous sample prefetching and hard negative mining, the network can be effectively trained. The efficacy of our method is corroborated on the benchmark dataset of 2016 Camelyon Grand Challenge. Our method achieved significant improvements in comparison with the state-of-the-art methods on tumor localization accuracy with a much faster speed and even surpassed human performance on both challenge tasks.",Histopathology image analysis; computational pathology; whole-slide image; deep learning; metastasis detection,1
3,Long-Term Effectiveness of Antiretroviral Therapy in China: An Observational Cohort Study from 2003-2014,"Huang, Peng; Tan, Jingguang; Ma, Wenzhe; Zheng, Hui; Lu, Yan; Wang, Ning; Peng, Zhihang; Yu, Rongbin","In order to assess the effectiveness of the Chinese government's expanded access program, a cohort study on all adult HIV patients in Shenzhen was conducted from December 2003 to February 2014 to estimate the effects of antiretroviral therapy (ART) on mortality, tuberculosis and CD4 cell counts. Marginal structural regression models adjusted for baseline and time-varying covariates. Of the 6897 patients enrolled and followed up for a maximum of 178 months, 44.92% received ART. Among patients who commenced receiving ART during the study, there were 98 deaths and 59 new tuberculosis diagnoses, while there were 410 deaths and 201 new tuberculosis diagnoses among those without ART. ART was associated with both lower mortality (hazard ratio [HR] = 0.18; 95% confidence interval [CI] = 0.11-0.27) and the presence of tuberculosis (HR = 0.27; 95% CI = 0.19-0.37). Each month of ART was associated with an average increase in CD4 cell count of 6.52 cells/mu L (95% CI = 6.08-7.12 cells/mu L). In conclusions, the effectiveness of ART provided by China government health services is the same as that in higher-income countries. Accounting to higher mortality rates from the delay of starting ART, faster expansion and timely imitation of ART are urgent.",HIV; ART; mortality; observational cohort study; China,0
4,Real-Time Facial Affective Computing on Mobile Devices,"Guo, Yuanyuan; Xia, Yifan; Wang, Jing; Yu, Hui; Chen, Rung-Ching","Convolutional Neural Networks (CNNs) have become one of the state-of-the-art methods for various computer vision and pattern recognition tasks including facial affective computing. Although impressive results have been obtained in facial affective computing using CNNs, the computational complexity of CNNs has also increased significantly. This means high performance hardware is typically indispensable. Most existing CNNs are thus not generalizable enough for mobile devices, where the storage, memory and computational power are limited. In this paper, we focus on the design and implementation of CNNs on mobile devices for real-time facial affective computing tasks. We propose a light-weight CNN architecture which well balances the performance and computational complexity. The experimental results show that the proposed architecture achieves high performance while retaining the low computational complexity compared with state-of-the-art methods. We demonstrate the feasibility of a CNN architecture in terms of speed, memory and storage consumption for mobile devices by implementing a real-time facial affective computing application on an actual mobile device.",facial affective computing; convolutional neural networks; deep learning; mobile development,0
5,A phenotype-based forward genetic screen identifies Dnajb6 as a sick sinus syndrome gene,"Yonghe Ding,Di Lang,Jianhua Yan,Haisong Bu,Hongsong Li,Kunli Jiao,Jingchun Yang,Haibo Ni,Stefano Morotti,Tai Le,Karl J Clark,Jenna Port,Stephen C Ekker,Hung Cao,Yuji Zhang,Jun Wang,Eleonora Grandi,Zhiqiang Li,Yongyong Shi,Yigang Li,Alexey V Glukhov,Xiaolei Xu,Yonghe Ding,Di Lang,Jianhua Yan,Haisong Bu,Hongsong Li,Kunli Jiao,Jingchun Yang,Haibo Ni,Stefano Morotti,Tai Le,Karl J Clark,Jenna Port,Stephen C Ekker,Hung Cao,Yuji Zhang,Jun Wang,Eleonora Grandi,Zhiqiang Li,Yongyong Shi,Yigang Li,Alexey V Glukhov,Xiaolei Xu","Previously we showed the generation of a protein trap library made with the gene-break transposon (GBT) in zebrafish (Danio rerio) that could be used to facilitate novel functional genome annotation towards understanding molecular underpinnings of human diseases (Ichino et al, 2020). Here, we report a significant application of this library for discovering essential genes for heart rhythm disorders such as sick sinus syndrome (SSS). SSS is a group of heart rhythm disorders caused by malfunction of the sinus node, the heart's primary pacemaker. Partially owing to its aging-associated phenotypic manifestation and low expressivity, molecular mechanisms of SSS remain difficult to decipher. From 609 GBT lines screened, we generated a collection of 35 zebrafish insertional cardiac (ZIC) mutants in which each mutant traps a gene with cardiac expression. We further employed electrocardiographic measurements to screen these 35 ZIC lines and identified three GBT mutants with SSS-like phenotypes. More detailed functional studies on one of the arrhythmogenic mutants, GBT411, in both zebrafish and mouse models unveiled Dnajb6 as a novel SSS causative gene with a unique expression pattern within the subpopulation of sinus node pacemaker cells that partially overlaps with the expression of hyperpolarization activated cyclic nucleotide gated channel 4 (HCN4), supporting heterogeneity of the cardiac pacemaker cells.",Dnajb6; electrocardiogram; genetic diseases; genetics; genomics; sick sinus syndrome; sinus arrest; zebrafish.,1
6,ROS System Facial Emotion Detection Using Machine Learning for a Low-Cost Robot Based on Raspberry Pi,"Martinez, Javier; Vega, Julio","Facial emotion recognition (FER) is a field of research with multiple solutions in the state-of-the-art, focused on fields such as security, marketing or robotics. In the literature, several articles can be found in which algorithms are presented from different perspectives for detecting emotions. More specifically, in those emotion detection systems in the literature whose computational cores are low-cost, the results presented are usually in simulation or with quite limited real tests. This article presents a facial emotion detection system-detecting emotions such as anger, happiness, sadness or surprise-that was implemented under the Robot Operating System (ROS), Noetic version, and is based on the latest machine learning (ML) techniques proposed in the state-of-the-art. To make these techniques more efficient, and that they can be executed in real time on a low-cost board, extensive experiments were conducted in a real-world environment using a low-cost general purpose board, the Raspberry Pi 4 Model B. The final achieved FER system proposed in this article is capable of plausibly running in real time, operating at more than 13 fps, without using any external accelerator hardware, as other works (widely introduced in this article) do need in order to achieve the same purpose.",ROS; low-cost; raspberry Pi; visual attention; facial emotion detection; human-robot interaction,0
7,A Novel Machine Learning Approach for Android Malware Detection Based on the Co-Existence of Features,"Odat, Esraa; Yaseen, Qussai M.","This paper proposes a machine learning model based on the co-existence of static features for Android malware detection. The proposed model assumes that Android malware requests an abnormal set of co-existed permissions and APIs in comparing to those requested by benign applications. To prove this assumption, the paper created a new dataset of co-existed permissions and API calls at different levels of combinations, which are the second level, the third level, the fourth level and the fifth level. The extracted datasets of co-existed features at different levels were applied on permissions only, APIs only, permissions and APIs, and APIs and APIs frequencies. To extract the most relevant co-existed features, the frequent pattern growth (FP-growth) algorithm, which is an association rule mining technique, was used. The new datasets were extracted using Android APK samples from the Drebin, Malgenome and MalDroid2020 datasets. To evaluate the proposed model, several conventional machine learning algorithms were used. The results show that the model can successfully classify Android malware with a high accuracy using machine learning algorithms and the co-existence of features. Moreover, the results show that the achieved classification accuracy depends on the classifier and the type of co-existed features. The maximum accuracy, which is 98%, was achieved using the Random Forest algorithm and the co-existence of permissions features at the second combination level. Furthermore, the results show that the proposed approach outperforms the state-of-the-art model. Using Malgenome dataset, the proposed approach achieved an accuracy of about 98%, while the state-of-the-art achieved an accuracy of about 87%. In addition, the experiments show that using the Drebin dataset, the proposed approach achieved an accuracy of about 95%, while the state-of-the-art achieved an accuracy of about 93%.",Malware; Feature extraction; Machine learning algorithms; Smart phones; Machine learning; Heuristic algorithms; Computational modeling; Android; co-existence; FP-growth; machine learning; malware,0
8,Universal blind image quality assessment using contourlet transform and singular-value decomposition,"Sang, Qingbing; Wu, Xiaojun; Li, Chaofeng; Lu, Yin","Most current state-of-the-art blind image quality assessment (IQA) algorithms usually require process training or learning. Here, we have developed a completely blind IQA model that uses features derived from an image's contourlet transform and singular-value decomposition. The model is used to build algorithms that can predict image quality without any training or any prior knowledge of the images or their distortions. The new method consists of three steps: first, the contourlet transform is used on the image to obtain detailed high-frequency structural information from the image; second, the singular values of the just-obtained ""structural image"" are computed; and finally, two new universal blind IQA indices are constructed utilizing the area and slope of the truncated singular-value curves of the ""structural image."" Experimental results on three open databases show that the proposed algorithms deliver quality predictions that have high correlations against human subjective judgments and are highly competitive with the state-of-the-art. (C) 2014 SPIE and IS&T",completely blind; image quality assessment; singular-value decomposition; contourlet transform; no reference,0
9,EndoNet: A Deep Architecture for Recognition Tasks on Laparoscopic Videos,"Twinanda, Andru P.; Shehata, Sherif; Mutter, Didier; Marescaux, Jacques; de Mathelin, Michel; Padoy, Nicolas","Surgical workflow recognition has numerous potential medical applications, such as the automatic indexing of surgical video databases and the optimization of real-time operating room scheduling, among others. As a result, surgical phase recognition has been studied in the context of several kinds of surgeries, such as cataract, neurological, and laparoscopic surgeries. In the literature, two types of features are typically used to perform this task: visual features and tool usage signals. However, the used visual features are mostly handcrafted. Furthermore, the tool usage signals are usually collected via a manual annotation process or by using additional equipment. In this paper, we propose a novel method for phase recognition that uses a convolutional neural network (CNN) to automatically learn features from cholecystectomy videos and that relies uniquely on visual information. In previous studies, it has been shown that the tool usage signals can provide valuable information in performing the phase recognition task. Thus, we present a novel CNN architecture, called EndoNet, that is designed to carry out the phase recognition and tool presence detection tasks in a multi-task manner. To the best of our knowledge, this is the first work proposing to use a CNN for multiple recognition tasks on laparoscopic videos. Experimental comparisons to other methods show that EndoNet yields state-of-the-art results for both tasks.",Laparoscopic videos; cholecystectomy; convolutional neural network; tool presence detection; phase recognition,1
